pID,condition,target,distractor,start_time,typed_input,keypress_times,cleaned_response,cleaned_typingTimes,response_type,response_check,subj,trialNum,onset_time,onset_latency,edit_type
00ccdc61d8c7e1d75567f4ee807f60da,NEU,cup,XXXXX,1645560878434,"c,u,p,(Enter)",1645560880124165e36,cup_,1645560880124165e36,pass,pass-target,1,35,1645560880124,1390,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,skirt,swan,1645560880843,"s,k,i,r,t,(Enter)",1645560882892165e62,skirt_,1645560882892165e62,pass,pass-target,1,36,1645560882892,1749,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,car,plane,1645560883970,"c,a,r,(Enter)",16455608858551644e35,car_,16455608858551644e35,pass,pass-target,1,37,1645560885855,1585,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,train,XXXXX,1645560886487,"t,r,a,i,n,(Enter)",16455608880791645e61,train_,16455608880791645e61,pass,pass-target,1,38,1645560888079,1292,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,skirt,skirt,1645560889413,"s,k,i,r,t,(Enter)",16455608909361633e61,skirt_,16455608909361633e61,pass,pass-target,1,39,1645560890936,1223,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,glass,glass,1645560896538,"g,l,a,s,s,(Enter)",16455608991201648e61,glass_,16455608991201648e61,pass,pass-target,1,41,1645560899120,2282,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,desk,bed,1645560900709,"d,e,s,k,(Enter)",1645560903325165e49,desk_,1645560903325165e49,pass,pass-target,1,42,1645560903325,2316,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,car,XXXXX,1645560904515,"c,a,r,(Enter)",16455609061041645e35,car_,16455609061041645e35,pass,pass-target,1,43,1645560906104,1289,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,tortoise,cup,1645560906789,"t,o,r,t,o,i,s,e,(Enter)",16455609085861642e100,tortoise_,16455609085861642e100,pass,pass-target,1,44,1645560908586,1497,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,wardrobe,table,1645560911120,"w,a,r,d,r,o,b,e,(Enter)",16455609132471647e100,wardrobe_,16455609132471647e100,pass,pass-target,1,45,1645560913247,1827,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,plane,XXXXX,1645560915592,"p,l,a,n,e,(Enter)",1645560916881165e62,plane_,1645560916881165e62,pass,pass-target,1,46,1645560916881,989,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,church,church,1645560918000,"c,h,u,r,c,h,(Enter)",1645560920039165e75,church_,1645560920039165e75,pass,pass-target,1,47,1645560920039,1739,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,swan,swan,1645560924476,"s,w,a,n,(Enter)",1645560926005164e49,swan_,1645560926005164e49,pass,pass-target,1,49,1645560926005,1229,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,bike,train,1645560927160,"b,i,k,e,(Enter)",16455609287481642e48,bike_,16455609287481642e48,pass,pass-target,1,50,1645560928748,1288,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,pistol,bed,1645560933836,"p,i,s,t,o,l,(Enter)",16455609358031646e74,pistol_,16455609358031646e74,pass,pass-target,1,52,1645560935803,1667,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,swan,tortoise,1645560937606,"s,w,a,n,(Enter)",1645560939335164e49,swan_,1645560939335164e49,pass,pass-target,1,53,1645560939335,1429,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,ear,ear,1645560944992,"e,a,r,(Enter)",1645560946557165e36,ear_,1645560946557165e36,pass,pass-target,1,55,1645560946557,1265,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,leg,leg,1645560951794,"l,e,g,(Enter)",16455609531861644e35,leg_,16455609531861644e35,pass,pass-target,1,57,1645560953186,1092,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,arm,XXXXX,1645560959764,"a,r,m,(Enter)",16455609609421643e35,arm_,16455609609421643e35,pass,pass-target,1,59,1645560960942,878,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,sword,table,1645560961830,"s,w,o,r,d,(Enter)",16455609637761644e61,sword_,16455609637761644e61,pass,pass-target,1,60,1645560963776,1646,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,sweater,skirt,1645560965433,"s,w,e,a,t,e,r,(Enter)",1645560967425166e88,sweater_,1645560967425166e88,pass,pass-target,1,61,1645560967425,1692,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,plate,XXXXX,1645560969486,"p,l,a,t,e,(Enter)",16455609710571645e61,plate_,16455609710571645e61,pass,pass-target,1,62,1645560971057,1271,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,plane,plane,1645560972109,"p,l,a,n,e,(Enter)",16455609738591638e61,plane_,16455609738591638e61,pass,pass-target,1,63,1645560973859,1450,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,car,leg,1645560975020,"c,a,r,(Enter)",16455609767991644e35,car_,16455609767991644e35,pass,pass-target,1,64,1645560976799,1479,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,castle,castle,1645560977553,"c,a,s,t,l,e,(Enter)",16455609798881652e74,castle_,16455609798881652e74,pass,pass-target,1,65,1645560979888,2035,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,jug,windmill,1645560995010,"j,u,g,(Enter)",16455609969301645e35,jug_,16455609969301645e35,pass,pass-target,1,68,1645560996930,1620,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,wardrobe,XXXXX,1645561002730,"w,a,r,d,r,o,b,e,(Enter)",1645561004576165e101,wardrobe_,1645561004576165e101,pass,pass-target,1,70,1645561004576,1546,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,jug,jug,1645561006662,"j,u,g,(Enter)",1645561008045165e36,jug_,1645561008045165e36,pass,pass-target,1,71,1645561008045,1083,NA
